EstName,PhoneNoEst,EMail,OWNER,MailAddr1,MailAddr2,MailCity,MailZip,EstType1,Description,Location 1
"CAFE IL MONDO, LLC",45-3626-A MAMANE STREET,HONOKAA,(808)775-7711,,DENA & SERGIO RAMIREZ,P.O. BOX 1557,96727,SIT DOWN (RESTAURANT),,"45-3626-A MAMANE STREET
HONOKAA, HAWAII 96727
(20.069240000126058, -155.47215999978403)"
IHOP,"111 E. PUAINAKO STREET, SPACE 790",HILO,(808)947-8555,,"VSE HILO, LLC",1850 ALA MOANA BOULEVARD,96815,SIT DOWN (RESTAURANT),,"111 E. PUAINAKO STREET, SPACE 790
HILO, HAWAII 96815
(19.69531787892684, -155.0638680989685)"
CAFE PESTO,308 KAMEHAMEHA AVENUE,HILO,(808)969-6640,,"KAWAIHAE PIZZA, INC.",308 KAMEHAMEHA AVENUE,96720,SIT DOWN (RESTAURANT),,"308 KAMEHAMEHA AVENUE
HILO, HAWAII 96720
(19.723987236968753, -155.08514963193008)"
HOKULANI'S STEAK HOUSE,"16-586 OLD VOLCANO ROAD, #106",KEAAU,(808)966-5560,,"HOKULANI'S STEAK HOUSE, LLC",1333 OPUA STREET,96818,SIT DOWN (RESTAURANT),,"16-586 OLD VOLCANO ROAD, #106
KEAAU, HAWAII 96818
(19.6215332414914, -155.04002559043963)"
HAMAKUA SPORTS BAR & GRILL,"45-3490 G MAMANE STREET, UNIT G",HONOKAA,(808)775-1444,bigislandbrewery@hotmail.com,"BIG ISLAND BREWERY, LLC",45-3490 G MAMANE STREET,92727,SIT DOWN (RESTAURANT),,"45-3490 G MAMANE STREET, UNIT G
HONOKAA, HAWAII 92727
(20.07960999990172, -155.47055000018221)"
COCONUT GRILL,136 BANYAN WAY,HILO,(808)961-3330,,"PARADISE HOSPITALITY GROUP, INC.",411 HUALI PLACE,96720,SIT DOWN (RESTAURANT),,"136 BANYAN WAY
HILO, HAWAII 96720
(19.724087489636126, -155.06280182069733)"
HILO BAY CAFÉ,"315 MAKAALA STREET, #109",HILO,(808)935-4939,,"HILO BAY CAFÉ, INC.","315 MAKAALA STREET, #109",96720,SIT DOWN (RESTAURANT),,"315 MAKAALA STREET, #109
HILO, HAWAII 96720
(19.699337683604423, -155.06398642620778)"
HAWAIIAN VANILLA CO.,43-2007 PAAUILO MAUKA ROAD,PAAUILO,(808)776-1771,,JIM REDDEKOPP,43-2007 PAAUILO MAUKA ROAD,96776,SIT DOWN (RESTAURANT),,"43-2007 PAAUILO MAUKA ROAD
PAAUILO, HAWAII 96776
(20.03988835739193, -155.3674107403765)"
HILO TOWN TAVERN & PIZZA,168 KEAWE STREET,HILO,(808)989-5385,,RHONDA NICHOLS,168 KEAWE STREET,96720,SIT DOWN (RESTAURANT),,"168 KEAWE STREET
HILO, HAWAII 96720
(19.724868572557455, -155.08734397768157)"
CLUB RAINBOW-HILO,"688 KINOOLE STREET, UNIT 128",HILO,(808)935-2000,,CHONG TSUKAYAMA,556 POHAKULANI STREET,96720,SIT DOWN (RESTAURANT),,"688 KINOOLE STREET, UNIT 128
HILO, HAWAII 96720
(19.718285535302982, -155.08469097769512)"
